sex,age,Length,L,M,S
2,24,45,-0.3833,2.4607,0.09029
2,24,45.5,-0.3833,2.5457,0.09033
2,24,46,-0.3833,2.6306,0.09037
2,24,46.5,-0.3833,2.7155,0.0904
2,24,47,-0.3833,2.8007,0.09044
2,24,47.5,-0.3833,2.8867,0.09048
2,24,48,-0.3833,2.9741,0.09052
2,24,48.5,-0.3833,3.0636,0.09056
2,24,49,-0.3833,3.156,0.0906
2,24,49.5,-0.3833,3.252,0.09064
2,24,50,-0.3833,3.3518,0.09068
2,24,50.5,-0.3833,3.4557,0.09072
2,24,51,-0.3833,3.5636,0.09076
2,24,51.5,-0.3833,3.6754,0.0908
2,24,52,-0.3833,3.7911,0.09085
2,24,52.5,-0.3833,3.9105,0.09089
2,24,53,-0.3833,4.0332,0.09093
2,24,53.5,-0.3833,4.1591,0.09098
2,24,54,-0.3833,4.2875,0.09102
2,24,54.5,-0.3833,4.4179,0.09106
2,24,55,-0.3833,4.5498,0.0911
2,24,55.5,-0.3833,4.6827,0.09114
2,24,56,-0.3833,4.8162,0.09118
2,24,56.5,-0.3833,4.95,0.09121
2,24,57,-0.3833,5.0837,0.09125
2,24,57.5,-0.3833,5.2173,0.09128
2,24,58,-0.3833,5.3507,0.0913
2,24,58.5,-0.3833,5.4834,0.09132
2,24,59,-0.3833,5.6151,0.09134
2,24,59.5,-0.3833,5.7454,0.09135
2,24,60,-0.3833,5.8742,0.09136
2,24,60.5,-0.3833,6.0014,0.09137
2,24,61,-0.3833,6.127,0.09137
2,24,61.5,-0.3833,6.2511,0.09136
2,24,62,-0.3833,6.3738,0.09135
2,24,62.5,-0.3833,6.4948,0.09133
2,24,63,-0.3833,6.6144,0.09131
2,24,63.5,-0.3833,6.7328,0.09129
2,24,64,-0.3833,6.8501,0.09126
2,24,64.5,-0.3833,6.9662,0.09123
2,24,65,-0.3833,7.0812,0.09119
2,24,65.5,-0.3833,7.195,0.09115
2,24,66,-0.3833,7.3076,0.0911
2,24,66.5,-0.3833,7.4189,0.09106
2,24,67,-0.3833,7.5288,0.09101
2,24,67.5,-0.3833,7.6375,0.09096
2,24,68,-0.3833,7.7448,0.0909
2,24,68.5,-0.3833,7.8509,0.09085
2,24,69,-0.3833,7.9559,0.09079
2,24,69.5,-0.3833,8.0599,0.09074
2,24,70,-0.3833,8.163,0.09068
2,24,70.5,-0.3833,8.2651,0.09062
2,24,71,-0.3833,8.3666,0.09056
2,24,71.5,-0.3833,8.4676,0.0905
2,24,72,-0.3833,8.5679,0.09043
2,24,72.5,-0.3833,8.6674,0.09037
2,24,73,-0.3833,8.7661,0.09031
2,24,73.5,-0.3833,8.8638,0.09025
2,24,74,-0.3833,8.9601,0.09018
2,24,74.5,-0.3833,9.0552,0.09012
2,24,75,-0.3833,9.149,0.09005
2,24,75.5,-0.3833,9.2418,0.08999
2,24,76,-0.3833,9.3337,0.08992
2,24,76.5,-0.3833,9.4252,0.08985
2,24,77,-0.3833,9.5166,0.08979
2,24,77.5,-0.3833,9.6086,0.08972
2,24,78,-0.3833,9.7015,0.08965
2,24,78.5,-0.3833,9.7957,0.08959
2,24,79,-0.3833,9.8915,0.08952
2,24,79.5,-0.3833,9.9892,0.08946
2,24,80,-0.3833,10.0891,0.0894
2,24,80.5,-0.3833,10.1916,0.08934
2,24,81,-0.3833,10.2965,0.08928
2,24,81.5,-0.3833,10.4041,0.08923
2,24,82,-0.3833,10.514,0.08918
2,24,82.5,-0.3833,10.6263,0.08914
2,24,83,-0.3833,10.741,0.0891
2,24,83.5,-0.3833,10.8578,0.08906
2,24,84,-0.3833,10.9767,0.08903
2,24,84.5,-0.3833,11.0974,0.089
2,24,85,-0.3833,11.2198,0.08898
2,24,85.5,-0.3833,11.3435,0.08897
2,24,86,-0.3833,11.4684,0.08895
2,24,86.5,-0.3833,11.594,0.08895
2,24,87,-0.3833,11.7201,0.08895
2,24,87.5,-0.3833,11.8461,0.08895
2,24,88,-0.3833,11.972,0.08896
2,24,88.5,-0.3833,12.0976,0.08898
2,24,89,-0.3833,12.2229,0.089
2,24,89.5,-0.3833,12.3477,0.08903
2,24,90,-0.3833,12.4723,0.08906
2,24,90.5,-0.3833,12.5965,0.08909
2,24,91,-0.3833,12.7205,0.08913
2,24,91.5,-0.3833,12.8443,0.08918
2,24,92,-0.3833,12.9681,0.08923
2,24,92.5,-0.3833,13.092,0.08928
2,24,93,-0.3833,13.2158,0.08934
2,24,93.5,-0.3833,13.3399,0.08941
2,24,94,-0.3833,13.4643,0.08948
2,24,94.5,-0.3833,13.5892,0.08955
2,24,95,-0.3833,13.7146,0.08963
2,24,95.5,-0.3833,13.8408,0.08972
2,24,96,-0.3833,13.9676,0.08981
2,24,96.5,-0.3833,14.0953,0.0899
2,24,97,-0.3833,14.2239,0.09
2,24,97.5,-0.3833,14.3537,0.0901
2,24,98,-0.3833,14.4848,0.09021
2,24,98.5,-0.3833,14.6174,0.09033
2,24,99,-0.3833,14.7519,0.09044
2,24,99.5,-0.3833,14.8882,0.09057
2,24,100,-0.3833,15.0267,0.09069
2,24,100.5,-0.3833,15.1676,0.09083
2,24,101,-0.3833,15.3108,0.09096
2,24,101.5,-0.3833,15.4564,0.0911
2,24,102,-0.3833,15.6046,0.09125
2,24,102.5,-0.3833,15.7553,0.09139
2,24,103,-0.3833,15.9087,0.09155
2,24,103.5,-0.3833,16.0645,0.0917
2,24,104,-0.3833,16.2229,0.09186
2,24,104.5,-0.3833,16.3837,0.09203
2,24,105,-0.3833,16.547,0.09219
2,24,105.5,-0.3833,16.7129,0.09236
2,24,106,-0.3833,16.8814,0.09254
2,24,106.5,-0.3833,17.0527,0.09271
2,24,107,-0.3833,17.2269,0.09289
2,24,107.5,-0.3833,17.4039,0.09307
2,24,108,-0.3833,17.5839,0.09326
2,24,108.5,-0.3833,17.7668,0.09344
2,24,109,-0.3833,17.9526,0.09363
2,24,109.5,-0.3833,18.1412,0.09382
2,24,110,-0.3833,18.3324,0.09401
2,60,65,-0.3833,7.2402,0.09113
2,60,65.5,-0.3833,7.3523,0.09109
2,60,66,-0.3833,7.463,0.09104
2,60,66.5,-0.3833,7.5724,0.09099
2,60,67,-0.3833,7.6806,0.09094
2,60,67.5,-0.3833,7.7874,0.09088
2,60,68,-0.3833,7.893,0.09083
2,60,68.5,-0.3833,7.9976,0.09077
2,60,69,-0.3833,8.1012,0.09071
2,60,69.5,-0.3833,8.2039,0.09065
2,60,70,-0.3833,8.3058,0.09059
2,60,70.5,-0.3833,8.4071,0.09053
2,60,71,-0.3833,8.5078,0.09047
2,60,71.5,-0.3833,8.6078,0.09041
2,60,72,-0.3833,8.707,0.09035
2,60,72.5,-0.3833,8.8053,0.09028
2,60,73,-0.3833,8.9025,0.09022
2,60,73.5,-0.3833,8.9983,0.09016
2,60,74,-0.3833,9.0928,0.09009
2,60,74.5,-0.3833,9.1862,0.09003
2,60,75,-0.3833,9.2786,0.08996
2,60,75.5,-0.3833,9.3703,0.08989
2,60,76,-0.3833,9.4617,0.08983
2,60,76.5,-0.3833,9.5533,0.08976
2,60,77,-0.3833,9.6456,0.08969
2,60,77.5,-0.3833,9.739,0.08963
2,60,78,-0.3833,9.8338,0.08956
2,60,78.5,-0.3833,9.9303,0.0895
2,60,79,-0.3833,10.0289,0.08943
2,60,79.5,-0.3833,10.1298,0.08937
2,60,80,-0.3833,10.2332,0.08932
2,60,80.5,-0.3833,10.3393,0.08926
2,60,81,-0.3833,10.4477,0.08921
2,60,81.5,-0.3833,10.5586,0.08916
2,60,82,-0.3833,10.6719,0.08912
2,60,82.5,-0.3833,10.7874,0.08908
2,60,83,-0.3833,10.9051,0.08905
2,60,83.5,-0.3833,11.0248,0.08902
2,60,84,-0.3833,11.1462,0.08899
2,60,84.5,-0.3833,11.2691,0.08897
2,60,85,-0.3833,11.3934,0.08896
2,60,85.5,-0.3833,11.5186,0.08895
2,60,86,-0.3833,11.6444,0.08895
2,60,86.5,-0.3833,11.7705,0.08895
2,60,87,-0.3833,11.8965,0.08896
2,60,87.5,-0.3833,12.0223,0.08897
2,60,88,-0.3833,12.1478,0.08899
2,60,88.5,-0.3833,12.2729,0.08901
2,60,89,-0.3833,12.3976,0.08904
2,60,89.5,-0.3833,12.522,0.08907
2,60,90,-0.3833,12.6461,0.08911
2,60,90.5,-0.3833,12.77,0.08915
2,60,91,-0.3833,12.8939,0.0892
2,60,91.5,-0.3833,13.0177,0.08925
2,60,92,-0.3833,13.1415,0.08931
2,60,92.5,-0.3833,13.2654,0.08937
2,60,93,-0.3833,13.3896,0.08944
2,60,93.5,-0.3833,13.5142,0.08951
2,60,94,-0.3833,13.6393,0.08959
2,60,94.5,-0.3833,13.765,0.08967
2,60,95,-0.3833,13.8914,0.08975
2,60,95.5,-0.3833,14.0186,0.08984
2,60,96,-0.3833,14.1466,0.08994
2,60,96.5,-0.3833,14.2757,0.09004
2,60,97,-0.3833,14.4059,0.09015
2,60,97.5,-0.3833,14.5376,0.09026
2,60,98,-0.3833,14.671,0.09037
2,60,98.5,-0.3833,14.8062,0.09049
